110114116000	兴寿镇
110114118000	流村镇
110114119000	十三陵镇
110114120000	延寿镇
110115001000	兴丰街道
110115002000	林校路街道
110115003000	清源街道
110115004000	亦庄地区
110115005000	黄村地区
110115006000	旧宫地区
110115007000	西红门地区
110115008000	瀛海地区
110115009000	观音寺街道
110115010000	天宫院街道
110115011000	高米店街道
110115012000	荣华街道
110115013000	博兴街道
110115103000	青云店镇
110115104000	采育镇
110115105000	安定镇
110115106000	礼贤镇
110115107000	榆垡镇
110115108000	庞各庄镇
110115109000	北臧村镇
110115110000	魏善庄镇
110115111000	长子营镇
110115403000	北京经济技术开发区
110115404000	中关村国家自主创新示范区大兴生物医药产业基地
110115405000	国家新媒体产业基地
110115406000	大兴国际机场
110116001000	泉河街道
110116002000	龙山街道
110116003000	怀柔地区
110116004000	雁栖地区
110116005000	庙城地区
110116102000	北房镇
110116103000	杨宋镇
110116105000	桥梓镇
110116106000	怀北镇
110116107000	汤河口镇
110116108000	渤海镇
110116109000	九渡河镇
110116110000	琉璃庙镇
110116111000	宝山镇
110116211000	长哨营满族乡
110116213000	喇叭沟门满族乡
110116400000	北京雁栖经济开发区
110117001000	滨河街道
110117002000	兴谷街道
110117003000	渔阳地区
110117004000	峪口地区
110117005000	马坊地区
110117006000	金海湖地区
110117101000	东高村镇
110117102000	山东庄镇
110117104000	南独乐河镇
110117105000	大华山镇
110117106000	夏各庄镇
110117108000	马昌营镇
110117110000	王辛庄镇
110117111000	大兴庄镇
110117112000	刘家店镇
110117114000	镇罗营镇
110117213000	黄松峪乡
110117214000	熊儿寨乡
110118001000	鼓楼街道
110118002000	果园街道
110118003000	檀营地区
110118100000	密云镇
110118101000	溪翁庄镇
110118102000	西田各庄镇
110118103000	十里堡镇
110118104000	河南寨镇
110118105000	巨各庄镇
110118106000	穆家峪镇
110118107000	太师屯镇
110118108000	高岭镇
110118109000	不老屯镇
110118110000	冯家峪镇
110118111000	古北口镇
110118112000	大城子镇
110118113000	东邵渠镇
110118114000	北庄镇
110118115000	新城子镇
110118116000	石城镇
110118400000	中关村科技园区密云园
110119001000	百泉街道
110119002000	香水园街道
110119003000	儒林街道
110119100000	延庆镇
110119101000	康庄镇
110119102000	八达岭镇
110119103000	永宁镇
110119104000	旧县镇
110119105000	张山营镇
110119106000	四海镇
110119107000	千家店镇
110119108000	沈家营镇
110119109000	大榆树镇
110119110000	井庄镇
110119200000	大庄科乡
110119201000	刘斌堡乡
110119202000	香营乡
110119203000	珍珠泉乡
120101001000	劝业场街道
120101002000	小白楼街道
120101003000	五大道街道
120101004000	新兴街道
120101005000	南营门街道
120101006000	南市街道
120102001000	大王庄街道
120102002000	大直沽街道
120102003000	中山门街道
120102004000	富民路街道
120102005000	二号桥街道
120102006000	春华街道
120102007000	唐家口街道
120102008000	向阳楼街道
120102009000	常州道街道
120102010000	上杭路街道
120102011000	东新街道
120102012000	鲁山道街道
120102013000	天津铁厂街道
120103001000	大营门街道
120103002000	下瓦房街道
120103003000	桃园街道
120103004000	挂甲寺街道
120103005000	马场街道
120103006000	越秀路街道
120103007000	友谊路街道
120103008000	天塔街道
120103009000	尖山街道
120103010000	陈塘庄街道
120103011000	柳林街道
120103012000	东海街道
120103013000	梅江街道
120103014000	太湖路街道
120104001000	长虹街道
120104002000	鼓楼街道
120104003000	兴南街道
